seconds_elapsed,z,y,x
74.34956006,-2.711503029,0.792565823,-0.597104013
74.36545972,0.914420128,0.45780611,-0.448812962
74.38126782,4.570128441,-0.033380508,0.0241317
74.39707568,7.692954063,-0.154240608,-0.210995749
74.41294482,9.737341881,0.037348032,0.17537871
74.42878369,9.928529739,0.394957781,0.955974162
74.44465283,7.619326591,0.863721609,1.097892761
74.46043042,4.569452286,0.698148489,0.370724618
74.47623828,1.534671783,-0.445563793,-1.585820079
74.49210742,2.087424278,-2.09508872,-1.222543359
74.50788501,4.562346458,-3.645861149,-0.450444341
74.52378467,6.548604012,-3.94246459,-0.409890711
74.53959302,5.120223999,-3.351134777,-1.121133089
74.5554314,1.327498436,-2.411691904,-1.845853567
74.57133105,-2.345508575,-1.744840026,-2.973787069
74.58710889,-4.927335262,-1.547869802,-3.494238853
74.60291675,-4.706145763,-1.734081984,-2.539652824
74.61875562,-3.173381329,-1.938501716,-1.172298431
74.63459399,-2.0340271,-1.999611378,-0.517638505
74.65046313,-0.489006996,-1.72783339,-0.0833202
74.66627148,-0.797858238,-1.495408177,-0.323850691
74.68217114,-2.627664089,-1.243250728,-0.948538303
74.69797925,-5.618952751,-1.251007318,-1.279099584
74.71381787,-6.963942528,-1.105677366,-0.824533105
74.72968677,-7.948327065,-0.872826815,-0.240798295
74.74552539,-7.371487617,-0.802676201,0.11081183
74.76142505,-4.728877068,-0.736124039,0.236799955
74.77726392,-1.689956665,-0.412295818,0.80581677
74.79310229,1.290459633,0.163360596,0.922092319
74.80900195,2.4252491,0.714291334,0.863534153
74.82474902,2.57375145,1.176061392,0.986378908
74.84061816,3.683436394,1.273214102,0.269016147
74.8564873,5.7582798,1.220703602,0.165682733
74.87229541,8.458836555,1.663117409,0.674307644
74.88807324,9.50929451,2.9620049,-1.745827794
74.90394238,6.478815079,3.36485076,-4.448052883
74.91984204,4.21704483,2.546454906,-3.784626722
74.93568042,2.675652504,0.256481171,-1.057395935
74.95158008,1.980165482,-1.412829518,1.450182915
74.96747974,0.981286049,-2.696678877,3.29977107
74.98325732,0.326900482,-3.343859434,3.996058702
74.99918774,-0.311447144,-3.424399853,3.925241709
75.01499561,-0.778069496,-3.404025078,2.344713926
75.03083447,-0.873303413,-3.193126678,1.140984774
75.04670361,-1.117383957,-3.298473358,0.748951435
75.0624812,-0.734976768,-3.133552074,0.061533064
75.07841138,-0.452115059,-2.667891264,-0.374471247
75.09425,-1.308321953,-1.875605941,-0.792244792
75.11005811,-2.816046238,-1.292369604,-1.821684599
75.12586597,-4.3040452,-1.055130005,-2.095117569
75.14167432,-4.951118469,-0.754569888,-1.861584187
